"","p_val","avg_diff","pct.1","pct.2","p_val_adj","cluster","gene"
"GTF2A2.3",3.4555889133849e-12,0.2268495734066,0.756,0.592,6.91117782676979e-09,"3","GTF2A2"
"DYNLL1.2",5.03335629633503e-12,0.293048357102316,0.69,0.514,1.00667125926701e-08,"3","DYNLL1"
"IRF1.2",5.97553936832121e-12,0.335143282962908,0.806,0.661,1.19510787366424e-08,"3","IRF1"
"ATP2B1.1",7.26277737910904e-12,0.330560304050047,0.692,0.549,1.45255547582181e-08,"3","ATP2B1"
"CYB5A.3",7.57365152349407e-12,0.234628984026157,0.684,0.549,1.51473030469881e-08,"3","CYB5A"
"CTSK.2",8.03287788507613e-12,0.338129478416808,0.692,0.589,1.60657557701523e-08,"3","CTSK"
"COL14A1.3",8.11650498046502e-12,0.337021066271035,0.775,0.653,1.623300996093e-08,"3","COL14A1"
"AKR1C3",1.35685443026427e-11,0.438371474826882,0.469,0.306,2.71370886052855e-08,"3","AKR1C3"
"LOX.1",1.5373084559305e-11,0.327540280839641,0.767,0.609,3.07461691186101e-08,"3","LOX"
"ISYNA1.2",1.54676505815217e-11,0.425434595455351,0.419,0.245,3.09353011630433e-08,"3","ISYNA1"
"SRPX.2",2.44759648050019e-11,0.449183854796983,0.631,0.436,4.89519296100038e-08,"3","SRPX"
"KRT10.3",3.11122280112067e-11,-0.293498676529232,0.416,0.583,6.22244560224133e-08,"3","KRT10"
"GJA1.1",3.63958356631125e-11,0.321233666284151,0.79,0.64,7.27916713262251e-08,"3","GJA1"
"IL32.1",6.59749245603674e-11,0.282715960384583,0.735,0.631,1.31949849120735e-07,"3","IL32"
"C7orf73.2",8.59080564643668e-11,-0.279945310190672,0.432,0.604,1.71816112928734e-07,"3","C7orf73"
"INHBB.3",9.40864125232303e-11,-0.0295645629033835,0.225,0.33,1.88172825046461e-07,"3","INHBB"
"FSTL1.2",1.45498930295884e-10,0.327582987129217,0.676,0.53,2.90997860591769e-07,"3","FSTL1"
"SEC11C.3",1.55388981858119e-10,0.328835278691486,0.668,0.545,3.10777963716239e-07,"3","SEC11C"
"TCF21.2",1.84322357773613e-10,0.243434888076874,0.753,0.608,3.68644715547226e-07,"3","TCF21"
"CLGN.1",2.21552546418155e-10,0.513974388247557,0.546,0.324,4.43105092836311e-07,"3","CLGN"
"GMNN.1",2.27788987265556e-10,0.350482953416505,0.528,0.362,4.55577974531112e-07,"3","GMNN"
"LMOD1.2",2.81214516656049e-10,0.309604330281867,0.769,0.656,5.62429033312099e-07,"3","LMOD1"
"VAMP5.3",2.83488449953757e-10,-0.370917454602982,0.419,0.563,5.66976899907514e-07,"3","VAMP5"
"EXOSC9.1",2.89085875869977e-10,0.472830369154115,0.459,0.252,5.78171751739954e-07,"3","EXOSC9"
"GDF15.3",2.98655644410976e-10,0.297669011113406,0.714,0.609,5.97311288821951e-07,"3","GDF15"
"HSBP1L1.2",4.0651865656104e-10,-0.312120738048211,0.485,0.629,8.13037313122079e-07,"3","HSBP1L1"
"ITGA1.2",4.12433713649069e-10,0.279543201147647,0.764,0.648,8.24867427298137e-07,"3","ITGA1"
"RP11-356J5.12.3",4.51951846495875e-10,-0.327749131677309,0.485,0.649,9.03903692991749e-07,"3","RP11-356J5.12"
"BUB1.2",4.77665126278964e-10,0.0802917098177312,0.393,0.283,9.55330252557928e-07,"3","BUB1"
"SAPCD2.2",8.27957016077579e-10,0.0330569849604411,0.467,0.337,1.65591403215516e-06,"3","SAPCD2"
"TDP2",8.45146846984147e-10,0.324097750305549,0.759,0.625,1.69029369396829e-06,"3","TDP2"
"HNRNPH3.3",9.20537132779117e-10,0.257764515285067,0.796,0.655,1.84107426555823e-06,"3","HNRNPH3"
"FAM101B.2",1.08101775252139e-09,-0.328489604593508,0.507,0.658,2.16203550504278e-06,"3","FAM101B"
"FABP3.3",1.11690286962527e-09,0.337335775526062,0.43,0.309,2.23380573925055e-06,"3","FABP3"
"PCYOX1.3",1.23349244665917e-09,0.349384860898026,0.777,0.638,2.46698489331833e-06,"3","PCYOX1"
"EVI2A.2",1.29639398979591e-09,0.0383698112795156,0.342,0.245,2.59278797959182e-06,"3","EVI2A"
"NEK2.2",1.35389579280409e-09,0.0816320122761959,0.528,0.391,2.70779158560819e-06,"3","NEK2"
"CKB.3",1.43145240675146e-09,0.22936271390031,0.353,0.273,2.86290481350293e-06,"3","CKB"
"YWHAH.3",1.43991969451815e-09,0.272082515827981,0.703,0.596,2.8798393890363e-06,"3","YWHAH"
"SNHG19.2",1.52395374526024e-09,-0.298530858384763,0.493,0.661,3.04790749052048e-06,"3","SNHG19"
"RALA.2",1.5781566431527e-09,0.268028183138994,0.748,0.635,3.1563132863054e-06,"3","RALA"
"NHP2.2",1.59800845219588e-09,-0.289937465844802,0.451,0.616,3.19601690439176e-06,"3","NHP2"
"SNRPA1.3",1.76324073122916e-09,0.295705461287448,0.674,0.554,3.52648146245832e-06,"3","SNRPA1"
"TXNRD1.2",1.98169212275325e-09,0.326847125999918,0.65,0.531,3.96338424550649e-06,"3","TXNRD1"
"ALDOC.2",2.10097421032975e-09,0.359205755146654,0.398,0.248,4.2019484206595e-06,"3","ALDOC"
"GNG12.3",2.11945940844575e-09,-0.264807030384955,0.469,0.613,4.23891881689149e-06,"3","GNG12"
"SPON2.3",2.34035260504745e-09,0.25402580024603,0.655,0.558,4.68070521009489e-06,"3","SPON2"
"SSPN.2",2.35573645343257e-09,0.322173828634362,0.645,0.505,4.71147290686513e-06,"3","SSPN"
"SAP30.1",2.48691975402556e-09,0.240406061634989,0.443,0.347,4.97383950805112e-06,"3","SAP30"
"MT1E.3",2.88883823723747e-09,-0.346187663230438,0.456,0.575,5.77767647447493e-06,"3","MT1E"
"ISOC1",3.00505149362328e-09,0.265083499760353,0.745,0.646,6.01010298724657e-06,"3","ISOC1"
"IGFBP6.2",3.14847731427971e-09,0.285118938866723,0.658,0.521,6.29695462855941e-06,"3","IGFBP6"
"MPHOSPH6.3",4.03487022005937e-09,0.308312854939516,0.682,0.543,8.06974044011874e-06,"3","MPHOSPH6"
"STRA13.2",4.40362576756345e-09,-0.313738154876461,0.477,0.643,8.80725153512691e-06,"3","STRA13"
"GCLM.2",5.39554397625658e-09,0.278190423555247,0.679,0.575,1.07910879525132e-05,"3","GCLM"
"CD320.3",5.40515754817033e-09,0.31402186370016,0.737,0.605,1.08103150963407e-05,"3","CD320"
"SQLE.2",6.7095821532164e-09,0.291134243561452,0.7,0.608,1.34191643064328e-05,"3","SQLE"
"SBF2-AS1.3",7.04271286825539e-09,-0.238005708483935,0.499,0.641,1.40854257365108e-05,"3","SBF2-AS1"
"MYADM.3",7.208887021783e-09,0.318331883534667,0.719,0.618,1.4417774043566e-05,"3","MYADM"
"CLEC11A.1",8.06448859746844e-09,0.288130370597043,0.788,0.673,1.61289771949369e-05,"3","CLEC11A"
"CTSH.3",8.50757251953663e-09,0.291857028534856,0.621,0.497,1.70151450390733e-05,"3","CTSH"
"KIF4A.3",8.7501907081283e-09,0.0291105563569279,0.467,0.341,1.75003814162566e-05,"3","KIF4A"
"TYMS.2",9.11717257236073e-09,0.206555513233019,0.393,0.304,1.82343451447215e-05,"3","TYMS"
"FN1.3",9.35039861259113e-09,0.334595086596782,0.645,0.53,1.87007972251823e-05,"3","FN1"
"KIF14.2",9.61634182870512e-09,0.0750440124415697,0.419,0.315,1.92326836574102e-05,"3","KIF14"
"DNMT1.1",9.98006534239774e-09,0.298838394841036,0.708,0.573,1.99601306847955e-05,"3","DNMT1"
"FAM64A.3",1.13535250979011e-08,0.0567379238367752,0.483,0.354,2.27070501958022e-05,"3","FAM64A"
"KIF20A.3",1.27095962613978e-08,-0.00226608751127743,0.443,0.323,2.54191925227955e-05,"3","KIF20A"
"PLPP3.1",1.41291582834369e-08,0.295438885780954,0.732,0.627,2.82583165668738e-05,"3","PLPP3"
"AKR1C2",1.41389569051323e-08,0.548032455023943,0.507,0.263,2.82779138102647e-05,"3","AKR1C2"
"FLNA.2",1.51791163628165e-08,0.285026029605417,0.639,0.526,3.0358232725633e-05,"3","FLNA"
"NUSAP1.1",1.55887046618011e-08,0.158874891680814,0.273,0.206,3.11774093236021e-05,"3","NUSAP1"
"FAM124B.2",1.86496216259705e-08,0.0509681355804841,0.329,0.227,3.72992432519411e-05,"3","FAM124B"
"LARP6.2",2.01274043831393e-08,-0.230448790593319,0.43,0.596,4.02548087662786e-05,"3","LARP6"
"CKAP2.3",2.07654710360645e-08,0.277455742857291,0.403,0.305,4.15309420721291e-05,"3","CKAP2"
"DDX21.3",2.12259380736472e-08,0.267641976897484,0.732,0.661,4.24518761472944e-05,"3","DDX21"
"RP11-490M8.1.3",2.55875027162763e-08,-0.307262803258157,0.472,0.621,5.11750054325525e-05,"3","RP11-490M8.1"
"SMIM3",2.60624941941057e-08,-0.31232925919975,0.448,0.62,5.21249883882115e-05,"3","SMIM3"
"PSG4.3",2.92458430396272e-08,0.239438583492484,0.698,0.596,5.84916860792544e-05,"3","PSG4"
"LMCD1.1",3.04503371057859e-08,0.254117351088176,0.719,0.646,6.09006742115718e-05,"3","LMCD1"
"ATOX1.2",3.10862870434248e-08,-0.285316789999266,0.472,0.543,6.21725740868495e-05,"3","ATOX1"
"TMEM106C",3.2386110851871e-08,-0.303249960969306,0.477,0.656,6.4772221703742e-05,"3","TMEM106C"
"KIF18B.2",3.39558460316624e-08,0.0205338049379938,0.475,0.356,6.79116920633248e-05,"3","KIF18B"
"TNFRSF11B.3",3.75594760848436e-08,0.26285637305981,0.679,0.595,7.51189521696873e-05,"3","TNFRSF11B"
"SPAG5.2",3.76101129237057e-08,0.119699821099828,0.408,0.301,7.52202258474113e-05,"3","SPAG5"
"HCFC1R1.3",3.81586572763696e-08,-0.313419978070046,0.507,0.648,7.63173145527393e-05,"3","HCFC1R1"
"DEPDC1.3",5.05859970062143e-08,0.0247980498559355,0.414,0.304,0.000101171994012429,"3","DEPDC1"
"TTK.2",5.34476259902937e-08,0.0505000035593333,0.456,0.341,0.000106895251980587,"3","TTK"
"CDC20.2",5.71270151679646e-08,0.112903282185547,0.361,0.268,0.000114254030335929,"3","CDC20"
"IGFBP2.2",7.06725405210958e-08,0.171678037192594,0.695,0.621,0.000141345081042192,"3","IGFBP2"
"HSD11B1.1",8.73352640826499e-08,0.477376545965071,0.443,0.247,0.0001746705281653,"3","HSD11B1"
"SPC25.2",9.73051596171878e-08,-0.00331338670021942,0.446,0.334,0.000194610319234376,"3","SPC25"
"UQCR10.3",1.10152593942264e-07,-0.316064541673719,0.451,0.574,0.000220305187884527,"3","UQCR10"
"NCAPG.2",1.16835045073163e-07,0.0183939783446229,0.326,0.226,0.000233670090146325,"3","NCAPG"
"HMMR.3",1.26344118358139e-07,0.0567555026694664,0.422,0.324,0.000252688236716278,"3","HMMR"
"CENPA.3",1.33109351568272e-07,-0.00151192439736079,0.324,0.247,0.000266218703136544,"3","CENPA"
"APOL2.1",1.33411304598699e-07,0.282445839849639,0.748,0.657,0.000266822609197398,"3","APOL2"
"CDCA2.2",1.37575335430538e-07,0.0915646342777334,0.353,0.269,0.000275150670861075,"3","CDCA2"
"IQGAP3",1.40405759772935e-07,0.019086507564974,0.284,0.197,0.00028081151954587,"3","IQGAP3"
"MT1X",1.62796454048003e-07,-0.273227594297376,0.491,0.634,0.000325592908096006,"3","MT1X"
"PBK.3",1.66661814573503e-07,-0.00248055431309982,0.385,0.296,0.000333323629147007,"3","PBK"
"QPRT.3",1.68005853233107e-07,0.215434618183367,0.761,0.648,0.000336011706466215,"3","QPRT"
"CDC25C.2",1.68600544770969e-07,0.0221990564002616,0.477,0.361,0.000337201089541938,"3","CDC25C"
